t,best,solver,dim
1,-2.7341623460238087,vanila-des,50
2,-2.816862617638111,vanila-des,50
3,-2.816862617638111,vanila-des,50
4,-2.816862617638111,vanila-des,50
5,-2.861922930428257,vanila-des,50
6,-2.9100225249906897,vanila-des,50
7,-2.9100225249906897,vanila-des,50
8,-2.914859415400401,vanila-des,50
9,-2.914859415400401,vanila-des,50
10,-2.914859415400401,vanila-des,50
11,-2.914859415400401,vanila-des,50
12,-2.914859415400401,vanila-des,50
13,-2.914859415400401,vanila-des,50
14,-2.957514533708992,vanila-des,50
15,-2.957514533708992,vanila-des,50
16,-2.9924175805887208,vanila-des,50
17,-2.9924175805887208,vanila-des,50
18,-2.9924175805887208,vanila-des,50
19,-2.9924175805887208,vanila-des,50
20,-2.9924175805887208,vanila-des,50
21,-2.9924175805887208,vanila-des,50
22,-2.9924175805887208,vanila-des,50
23,-2.9924175805887208,vanila-des,50
24,-2.9924175805887208,vanila-des,50
25,-2.9924175805887208,vanila-des,50
26,-3.0825973385907117,vanila-des,50
27,-3.0825973385907117,vanila-des,50
28,-3.0825973385907117,vanila-des,50
29,-3.0825973385907117,vanila-des,50
30,-3.0825973385907117,vanila-des,50
31,-3.0825973385907117,vanila-des,50
32,-3.0825973385907117,vanila-des,50
33,-3.0825973385907117,vanila-des,50
34,-3.0825973385907117,vanila-des,50
35,-3.0825973385907117,vanila-des,50
36,-3.0825973385907117,vanila-des,50
37,-3.0825973385907117,vanila-des,50
38,-3.0825973385907117,vanila-des,50
39,-3.113503246909022,vanila-des,50
40,-3.129075233603707,vanila-des,50
41,-3.129075233603707,vanila-des,50
42,-3.129075233603707,vanila-des,50
43,-3.1358832966553356,vanila-des,50
44,-3.1358832966553356,vanila-des,50
45,-3.1358832966553356,vanila-des,50
46,-3.1497684112601076,vanila-des,50
47,-3.1497684112601076,vanila-des,50
48,-3.1497684112601076,vanila-des,50
49,-3.1609483802658884,vanila-des,50
50,-3.1609483802658884,vanila-des,50
51,-3.1609483802658884,vanila-des,50
52,-3.1609483802658884,vanila-des,50
53,-3.1609483802658884,vanila-des,50
54,-3.1609483802658884,vanila-des,50
55,-3.1609483802658884,vanila-des,50
56,-3.1609483802658884,vanila-des,50
57,-3.1609483802658884,vanila-des,50
58,-3.1609483802658884,vanila-des,50
59,-3.1693798112751725,vanila-des,50
60,-3.218069921010548,vanila-des,50
61,-3.218069921010548,vanila-des,50
62,-3.218069921010548,vanila-des,50
63,-3.218069921010548,vanila-des,50
64,-3.218069921010548,vanila-des,50
65,-3.218069921010548,vanila-des,50
66,-3.218069921010548,vanila-des,50
67,-3.218069921010548,vanila-des,50
68,-3.218069921010548,vanila-des,50
69,-3.218069921010548,vanila-des,50
70,-3.218069921010548,vanila-des,50
71,-3.218069921010548,vanila-des,50
72,-3.218069921010548,vanila-des,50
73,-3.218069921010548,vanila-des,50
74,-3.218069921010548,vanila-des,50
75,-3.218069921010548,vanila-des,50
76,-3.218069921010548,vanila-des,50
77,-3.218069921010548,vanila-des,50
78,-3.218069921010548,vanila-des,50
79,-3.218069921010548,vanila-des,50
80,-3.2211085413786527,vanila-des,50
81,-3.2400628099327635,vanila-des,50
82,-3.2400628099327635,vanila-des,50
83,-3.2400628099327635,vanila-des,50
84,-3.2400628099327635,vanila-des,50
85,-3.2400628099327635,vanila-des,50
86,-3.2400628099327635,vanila-des,50
87,-3.2400628099327635,vanila-des,50
88,-3.2400628099327635,vanila-des,50
89,-3.2400628099327635,vanila-des,50
90,-3.2400628099327635,vanila-des,50
91,-3.2400628099327635,vanila-des,50
92,-3.2400628099327635,vanila-des,50
93,-3.2400628099327635,vanila-des,50
94,-3.3436170623834522,vanila-des,50
95,-3.3436170623834522,vanila-des,50
96,-3.3436170623834522,vanila-des,50
97,-3.3436170623834522,vanila-des,50
98,-3.3436170623834522,vanila-des,50
99,-3.351292563003671,vanila-des,50
100,-3.351292563003671,vanila-des,50
101,-3.351292563003671,vanila-des,50
102,-3.3835961245735087,vanila-des,50
103,-3.3835961245735087,vanila-des,50
104,-3.3835961245735087,vanila-des,50
105,-3.3896880298564382,vanila-des,50
106,-3.3896880298564382,vanila-des,50
107,-3.3896880298564382,vanila-des,50
108,-3.3896880298564382,vanila-des,50
109,-3.4008170774650117,vanila-des,50
110,-3.4008170774650117,vanila-des,50
111,-3.4008170774650117,vanila-des,50
112,-3.4008170774650117,vanila-des,50
113,-3.4008170774650117,vanila-des,50
114,-3.4204333726282727,vanila-des,50
115,-3.4204333726282727,vanila-des,50
116,-3.4204333726282727,vanila-des,50
117,-3.4204333726282727,vanila-des,50
118,-3.4204333726282727,vanila-des,50
119,-3.4204333726282727,vanila-des,50
120,-3.4204333726282727,vanila-des,50
121,-3.4204333726282727,vanila-des,50
122,-3.4204333726282727,vanila-des,50
123,-3.4204333726282727,vanila-des,50
124,-3.4204333726282727,vanila-des,50
125,-3.4204333726282727,vanila-des,50
126,-3.4204333726282727,vanila-des,50
127,-3.4204333726282727,vanila-des,50
128,-3.4204333726282727,vanila-des,50
129,-3.4204333726282727,vanila-des,50
130,-3.467690355034418,vanila-des,50
131,-3.467690355034418,vanila-des,50
132,-3.467690355034418,vanila-des,50
133,-3.467690355034418,vanila-des,50
134,-3.467690355034418,vanila-des,50
135,-3.467690355034418,vanila-des,50
136,-3.4839628173586386,vanila-des,50
137,-3.4839628173586386,vanila-des,50
138,-3.4839628173586386,vanila-des,50
139,-3.4839628173586386,vanila-des,50
140,-3.4839628173586386,vanila-des,50
141,-3.4839628173586386,vanila-des,50
142,-3.4839628173586386,vanila-des,50
143,-3.4839628173586386,vanila-des,50
144,-3.4839628173586386,vanila-des,50
145,-3.4839628173586386,vanila-des,50
146,-3.4839628173586386,vanila-des,50
147,-3.4839628173586386,vanila-des,50
148,-3.4839628173586386,vanila-des,50
149,-3.4839628173586386,vanila-des,50
150,-3.4839628173586386,vanila-des,50
151,-3.510044092969082,vanila-des,50
152,-3.510044092969082,vanila-des,50
153,-3.5168765067289463,vanila-des,50
154,-3.5168765067289463,vanila-des,50
155,-3.5168765067289463,vanila-des,50
156,-3.5168765067289463,vanila-des,50
157,-3.5168765067289463,vanila-des,50
158,-3.5168765067289463,vanila-des,50
159,-3.5168765067289463,vanila-des,50
160,-3.5168765067289463,vanila-des,50
161,-3.5168765067289463,vanila-des,50
162,-3.5168765067289463,vanila-des,50
163,-3.537700473063424,vanila-des,50
164,-3.537700473063424,vanila-des,50
165,-3.537700473063424,vanila-des,50
166,-3.5634700478867956,vanila-des,50
167,-3.569319378677789,vanila-des,50
168,-3.5979563094715843,vanila-des,50
169,-3.5979563094715843,vanila-des,50
170,-3.6031117716131447,vanila-des,50
171,-3.621132980111688,vanila-des,50
172,-3.621132980111688,vanila-des,50
173,-3.621132980111688,vanila-des,50
174,-3.621132980111688,vanila-des,50
175,-3.621132980111688,vanila-des,50
176,-3.621132980111688,vanila-des,50
177,-3.621132980111688,vanila-des,50
178,-3.621132980111688,vanila-des,50
179,-3.621132980111688,vanila-des,50
180,-3.6754087077376854,vanila-des,50
181,-3.6754087077376854,vanila-des,50
182,-3.6754087077376854,vanila-des,50
183,-3.6754087077376854,vanila-des,50
184,-3.6754087077376854,vanila-des,50
185,-3.6754087077376854,vanila-des,50
186,-3.6754087077376854,vanila-des,50
187,-3.6754087077376854,vanila-des,50
188,-3.6754087077376854,vanila-des,50
189,-3.6754087077376854,vanila-des,50
190,-3.6754087077376854,vanila-des,50
191,-3.6754087077376854,vanila-des,50
192,-3.6754087077376854,vanila-des,50
193,-3.6754087077376854,vanila-des,50
194,-3.6754087077376854,vanila-des,50
195,-3.6754087077376854,vanila-des,50
196,-3.6754087077376854,vanila-des,50
197,-3.6754087077376854,vanila-des,50
198,-3.6754087077376854,vanila-des,50
199,-3.7219645511990542,vanila-des,50
200,-3.7219645511990542,vanila-des,50
201,-3.7219645511990542,vanila-des,50
202,-3.7219645511990542,vanila-des,50
203,-3.7219645511990542,vanila-des,50
204,-3.7219645511990542,vanila-des,50
205,-3.7219645511990542,vanila-des,50
206,-3.7678683979049956,vanila-des,50
207,-3.7678683979049956,vanila-des,50
208,-3.7678683979049956,vanila-des,50
209,-3.7678683979049956,vanila-des,50
210,-3.792252258300235,vanila-des,50
211,-3.792252258300235,vanila-des,50
212,-3.792252258300235,vanila-des,50
213,-3.792252258300235,vanila-des,50
214,-3.8371920037722576,vanila-des,50
215,-3.8371920037722576,vanila-des,50
216,-3.8371920037722576,vanila-des,50
217,-3.8371920037722576,vanila-des,50
218,-3.8371920037722576,vanila-des,50
219,-3.8371920037722576,vanila-des,50
220,-3.8371920037722576,vanila-des,50
221,-3.8371920037722576,vanila-des,50
222,-3.8371920037722576,vanila-des,50
223,-3.8371920037722576,vanila-des,50
224,-3.87655074966325,vanila-des,50
225,-3.87655074966325,vanila-des,50
226,-3.87655074966325,vanila-des,50
227,-3.8864709216106688,vanila-des,50
228,-3.8864709216106688,vanila-des,50
229,-3.918559068057218,vanila-des,50
230,-3.918559068057218,vanila-des,50
231,-3.969783345254767,vanila-des,50
232,-3.969783345254767,vanila-des,50
233,-3.9959679268267245,vanila-des,50
234,-3.9959679268267245,vanila-des,50
235,-3.9959679268267245,vanila-des,50
236,-3.9959679268267245,vanila-des,50
237,-3.9959679268267245,vanila-des,50
238,-3.9959679268267245,vanila-des,50
239,-4.000284902398626,vanila-des,50
240,-4.034214231263362,vanila-des,50
241,-4.034214231263362,vanila-des,50
242,-4.034214231263362,vanila-des,50
243,-4.034214231263362,vanila-des,50
244,-4.034214231263362,vanila-des,50
245,-4.034214231263362,vanila-des,50
246,-4.034214231263362,vanila-des,50
247,-4.034214231263362,vanila-des,50
248,-4.034214231263362,vanila-des,50
249,-4.044156938496963,vanila-des,50
250,-4.044156938496963,vanila-des,50
251,-4.044156938496963,vanila-des,50
252,-4.044156938496963,vanila-des,50
253,-4.044156938496963,vanila-des,50
254,-4.044156938496963,vanila-des,50
255,-4.044156938496963,vanila-des,50
256,-4.044156938496963,vanila-des,50
257,-4.044156938496963,vanila-des,50
258,-4.044156938496963,vanila-des,50
259,-4.044156938496963,vanila-des,50
260,-4.044156938496963,vanila-des,50
261,-4.044156938496963,vanila-des,50
262,-4.044156938496963,vanila-des,50
263,-4.044156938496963,vanila-des,50
264,-4.044156938496963,vanila-des,50
265,-4.044156938496963,vanila-des,50
266,-4.044156938496963,vanila-des,50
267,-4.074739470729261,vanila-des,50
268,-4.074739470729261,vanila-des,50
269,-4.074739470729261,vanila-des,50
270,-4.074739470729261,vanila-des,50
271,-4.074739470729261,vanila-des,50
272,-4.074739470729261,vanila-des,50
273,-4.074739470729261,vanila-des,50
274,-4.074739470729261,vanila-des,50
275,-4.074739470729261,vanila-des,50
276,-4.074739470729261,vanila-des,50
277,-4.092035461258737,vanila-des,50
278,-4.092035461258737,vanila-des,50
279,-4.092035461258737,vanila-des,50
280,-4.092035461258737,vanila-des,50
281,-4.092035461258737,vanila-des,50
282,-4.092035461258737,vanila-des,50
283,-4.092035461258737,vanila-des,50
284,-4.092035461258737,vanila-des,50
285,-4.092035461258737,vanila-des,50
286,-4.092035461258737,vanila-des,50
287,-4.092035461258737,vanila-des,50
288,-4.092035461258737,vanila-des,50
289,-4.092035461258737,vanila-des,50
290,-4.092035461258737,vanila-des,50
291,-4.092035461258737,vanila-des,50
292,-4.092035461258737,vanila-des,50
293,-4.092035461258737,vanila-des,50
294,-4.092035461258737,vanila-des,50
295,-4.092035461258737,vanila-des,50
296,-4.092035461258737,vanila-des,50
297,-4.092035461258737,vanila-des,50
298,-4.092035461258737,vanila-des,50
299,-4.092035461258737,vanila-des,50
300,-4.092035461258737,vanila-des,50
301,-4.092035461258737,vanila-des,50
302,-4.092035461258737,vanila-des,50
303,-4.092035461258737,vanila-des,50
304,-4.092035461258737,vanila-des,50
305,-4.101726997300377,vanila-des,50
306,-4.135660284121536,vanila-des,50
307,-4.135660284121536,vanila-des,50
308,-4.135660284121536,vanila-des,50
309,-4.135660284121536,vanila-des,50
310,-4.135660284121536,vanila-des,50
311,-4.135660284121536,vanila-des,50
312,-4.135660284121536,vanila-des,50
313,-4.135660284121536,vanila-des,50
314,-4.135660284121536,vanila-des,50
315,-4.135660284121536,vanila-des,50
316,-4.135660284121536,vanila-des,50
317,-4.135660284121536,vanila-des,50
318,-4.135660284121536,vanila-des,50
319,-4.146241679936131,vanila-des,50
320,-4.146241679936131,vanila-des,50
321,-4.146241679936131,vanila-des,50
322,-4.146241679936131,vanila-des,50
