t,best,solver,dim
1,-2.1182515867760134,vanila-des,10
2,-2.2052124526097736,vanila-des,10
3,-2.247385488662695,vanila-des,10
4,-2.2804706437189908,vanila-des,10
5,-2.3690894172316264,vanila-des,10
6,-2.3767266813027157,vanila-des,10
7,-2.3767266813027157,vanila-des,10
8,-2.3767266813027157,vanila-des,10
9,-2.4307861523238663,vanila-des,10
10,-2.4894113251677177,vanila-des,10
11,-2.4894113251677177,vanila-des,10
12,-2.4941046302036574,vanila-des,10
13,-2.579353230843611,vanila-des,10
14,-2.6603149787258795,vanila-des,10
15,-2.6603149787258795,vanila-des,10
16,-2.6603149787258795,vanila-des,10
17,-2.6603149787258795,vanila-des,10
18,-2.6603149787258795,vanila-des,10
19,-2.7421825170466745,vanila-des,10
20,-2.760100492895272,vanila-des,10
21,-2.7783926541357795,vanila-des,10
22,-2.7783926541357795,vanila-des,10
23,-2.8100792012380227,vanila-des,10
24,-2.832683962272505,vanila-des,10
25,-2.8579527213057094,vanila-des,10
26,-2.8579527213057094,vanila-des,10
27,-2.8763702992999196,vanila-des,10
28,-2.884675717717076,vanila-des,10
29,-2.884675717717076,vanila-des,10
30,-2.884675717717076,vanila-des,10
31,-2.884675717717076,vanila-des,10
32,-2.884675717717076,vanila-des,10
33,-2.904754810692267,vanila-des,10
34,-2.904754810692267,vanila-des,10
35,-2.904754810692267,vanila-des,10
36,-2.904754810692267,vanila-des,10
37,-2.973380233811921,vanila-des,10
38,-2.973380233811921,vanila-des,10
39,-2.9785681132036244,vanila-des,10
40,-3.0032519099449964,vanila-des,10
41,-3.004428030996142,vanila-des,10
42,-3.004428030996142,vanila-des,10
43,-3.0569320825326534,vanila-des,10
44,-3.0569320825326534,vanila-des,10
45,-3.0569320825326534,vanila-des,10
46,-3.0569320825326534,vanila-des,10
47,-3.134930886610394,vanila-des,10
48,-3.134930886610394,vanila-des,10
49,-3.1805372304530306,vanila-des,10
50,-3.1805372304530306,vanila-des,10
51,-3.191637672945066,vanila-des,10
52,-3.191637672945066,vanila-des,10
53,-3.2145795686880354,vanila-des,10
54,-3.2145795686880354,vanila-des,10
55,-3.2145795686880354,vanila-des,10
56,-3.2145795686880354,vanila-des,10
57,-3.2145795686880354,vanila-des,10
58,-3.2145795686880354,vanila-des,10
59,-3.2145795686880354,vanila-des,10
60,-3.2145795686880354,vanila-des,10
61,-3.222422506003918,vanila-des,10
62,-3.222422506003918,vanila-des,10
63,-3.222422506003918,vanila-des,10
64,-3.222422506003918,vanila-des,10
65,-3.222422506003918,vanila-des,10
66,-3.222422506003918,vanila-des,10
67,-3.222422506003918,vanila-des,10
68,-3.222422506003918,vanila-des,10
69,-3.222422506003918,vanila-des,10
70,-3.222422506003918,vanila-des,10
71,-3.222422506003918,vanila-des,10
72,-3.222422506003918,vanila-des,10
73,-3.222422506003918,vanila-des,10
74,-3.222422506003918,vanila-des,10
75,-3.2229724835631712,vanila-des,10
76,-3.223322331642767,vanila-des,10
77,-3.223322331642767,vanila-des,10
78,-3.223322331642767,vanila-des,10
79,-3.223322331642767,vanila-des,10
80,-3.227387772704044,vanila-des,10
81,-3.227387772704044,vanila-des,10
82,-3.227387772704044,vanila-des,10
83,-3.2282794538652646,vanila-des,10
84,-3.2282794538652646,vanila-des,10
85,-3.2282794538652646,vanila-des,10
86,-3.2282794538652646,vanila-des,10
87,-3.2282794538652646,vanila-des,10
88,-3.2282794538652646,vanila-des,10
89,-3.2282794538652646,vanila-des,10
90,-3.2282794538652646,vanila-des,10
91,-3.2282794538652646,vanila-des,10
92,-3.2282794538652646,vanila-des,10
93,-3.2282794538652646,vanila-des,10
94,-3.275284295808292,vanila-des,10
95,-3.275284295808292,vanila-des,10
96,-3.300813030606269,vanila-des,10
97,-3.300813030606269,vanila-des,10
98,-3.300813030606269,vanila-des,10
99,-3.300813030606269,vanila-des,10
100,-3.300813030606269,vanila-des,10
101,-3.300813030606269,vanila-des,10
102,-3.300813030606269,vanila-des,10
103,-3.300813030606269,vanila-des,10
104,-3.300813030606269,vanila-des,10
105,-3.300813030606269,vanila-des,10
106,-3.300813030606269,vanila-des,10
107,-3.300813030606269,vanila-des,10
108,-3.300813030606269,vanila-des,10
109,-3.300813030606269,vanila-des,10
110,-3.300813030606269,vanila-des,10
111,-3.300813030606269,vanila-des,10
112,-3.3024190533439537,vanila-des,10
113,-3.3024190533439537,vanila-des,10
114,-3.3024190533439537,vanila-des,10
115,-3.3024190533439537,vanila-des,10
116,-3.3024190533439537,vanila-des,10
117,-3.3024190533439537,vanila-des,10
118,-3.3024190533439537,vanila-des,10
119,-3.3115517352091453,vanila-des,10
120,-3.3115517352091453,vanila-des,10
121,-3.3115517352091453,vanila-des,10
122,-3.3115517352091453,vanila-des,10
123,-3.3115517352091453,vanila-des,10
124,-3.3272946275250783,vanila-des,10
125,-3.3272946275250783,vanila-des,10
126,-3.3272946275250783,vanila-des,10
127,-3.3272946275250783,vanila-des,10
128,-3.3272946275250783,vanila-des,10
129,-3.3272946275250783,vanila-des,10
130,-3.3272946275250783,vanila-des,10
131,-3.3272946275250783,vanila-des,10
132,-3.3272946275250783,vanila-des,10
133,-3.3272946275250783,vanila-des,10
134,-3.3272946275250783,vanila-des,10
135,-3.3272946275250783,vanila-des,10
136,-3.3272946275250783,vanila-des,10
137,-3.3272946275250783,vanila-des,10
138,-3.3272946275250783,vanila-des,10
139,-3.3272946275250783,vanila-des,10
140,-3.3847610748196053,vanila-des,10
